2000	2	1	0	4.982144	4.978368	5.031936	4.975712	4.976032	4.9888384
20000	2	1	0	45.466686	45.51939	45.464127	45.465218	45.465378	45.4761598
200000	2	1	0	451.795563	451.847382	451.849792	451.877777	451.849396	451.843982
2000000	2	1	0	4515.958984	4515.986816	4515.991211	4515.953125	4515.991211	4515.9762694
2000	4	1	0	2.546272	2.546624	2.546688	2.546336	2.546944	2.5465728
20000	4	1	0	23.102432	23.102304	23.102688	23.157057	23.102144	23.113325
200000	4	1	0	226.683136	226.681122	226.734909	226.681625	226.681305	226.6924194
2000000	4	1	0	2264.015381	2263.985596	2263.984375	2264.02124	2263.986084	2263.9985352
2000	8	1	0	1.623616	1.622752	1.624192	1.622848	1.622944	1.6232704
20000	8	1	0	12.4176	12.421728	12.416416	12.416288	12.416032	12.4176128
200000	8	1	0	119.13501	119.188927	119.130882	119.132317	119.133087	119.1440446
2000000	8	1	0	1188.552612	1188.518677	1188.520386	1188.523315	1188.524536	1188.5279052
2000	16	1	0	1.224704	1.225792	1.225824	1.226368	1.224992	1.225536
20000	16	1	0	6.792928	6.792736	6.794272	6.793728	6.792864	6.7933056
200000	16	1	0	64.670654	64.754402	64.673859	64.726463	64.754684	64.7160124
2000000	16	1	0	645.681152	645.6828	645.682068	645.687317	645.687866	645.6842406
2000	2	10	0	0.626336	0.62688	0.626112	0.626528	0.6272	0.6266112
20000	2	10	0	5.172576	5.171936	5.172352	5.172416	5.171648	5.1721856
200000	2	10	0	47.9496	47.894402	47.895199	47.894241	47.894623	47.905613
2000000	2	10	0	481.10495	481.100586	481.101257	481.131714	481.108673	481.109436
2000	4	10	0	0.653024	0.653888	0.653984	0.653472	0.653824	0.6536384
20000	4	10	0	2.812096	2.810048	2.809824	2.809568	2.810304	2.810368
200000	4	10	0	24.903872	24.903488	24.959232	24.903936	24.905151	24.9151358
2000000	4	10	0	249.58519	249.532349	249.532761	249.583801	249.583588	249.5635378
2000	8	10	0	0.66496	0.665504	0.665248	0.665984	0.665568	0.6654528
20000	8	10	0	1.746656	1.746656	1.7472	1.735232	1.74688	1.7445248
200000	8	10	0	13.075136	13.07392	13.075296	13.074848	13.074272	13.0746944
2000000	8	10	0	130.162048	130.159302	130.160324	130.161957	130.1633	130.1613862
